lam,seed,ablation_fraction,decision_accuracy
0,0,0.0,1.0
0,0,0.1,0.7723199963569641
0,0,0.2,0.4519999921321869
0,0,0.3,0.41999998688697815
0,0,0.5,0.05631999948527664
0,0,0.7,0.03696000054478645
0,1,0.0,0.9944000244140625
0,1,0.1,0.8438399910926819
0,1,0.2,0.581440007686615
0,1,0.3,0.5175999999046326
0,1,0.5,0.18415999859571458
0,1,0.7,0.018560000299476086
0,2,0.0,1.0
0,2,0.1,0.6185600101947785
0,2,0.2,0.5224000036716461
0,2,0.3,0.49151999354362486
0,2,0.5,0.2617599993944168
0,2,0.7,0.015039999783039094
2,0,0.0,0.9855999946594238
2,0,0.1,0.7027199983596801
2,0,0.2,0.24415999948978423
2,0,0.3,0.27807999551296236
2,0,0.5,0.024000000208616257
2,0,0.7,0.006719999946653843
2,1,0.0,0.9039999842643738
2,1,0.1,0.7700800061225891
2,1,0.2,0.5699199914932251
2,1,0.3,0.44591998755931855
2,1,0.5,0.04144000038504601
2,1,0.7,0.000800000037997961
2,2,0.0,0.9559999704360962
2,2,0.1,0.7529600024223327
2,2,0.2,0.319200000166893
2,2,0.3,0.20943999886512757
2,2,0.5,0.052799999713897705
2,2,0.7,0.02207999974489212
4,0,0.0,0.9879999756813049
4,0,0.1,0.5649600028991699
4,0,0.2,0.16592000341042876
4,0,0.3,0.011840000096708537
4,0,0.5,0.043199999525677414
4,0,0.7,0.005760000087320805
4,1,0.0,0.9215999841690063
4,1,0.1,0.5588800013065338
4,1,0.2,0.3515200011432171
4,1,0.3,0.2564800024032593
4,1,0.5,0.12463999968022108
4,1,0.7,0.05872000074014068
4,2,0.0,0.9599999785423279
4,2,0.1,0.58960000872612
4,2,0.2,0.2700800066580996
4,2,0.3,0.1745600052177906
4,2,0.5,0.13151999861001967
4,2,0.7,0.02416000058874488
6,0,0.0,0.974399983882904
6,0,0.1,0.3699199974536896
6,0,0.2,0.2788799934089184
6,0,0.3,0.106400001142174
6,0,0.5,0.14288000166416168
6,0,0.7,0.07599999848753214
6,1,0.0,0.979200005531311
6,1,0.1,0.4824000045657158
6,1,0.2,0.29872000217437744
6,1,0.3,0.21439999900758266
6,1,0.5,0.012959999963641167
6,1,0.7,0.011999999731779098
6,2,0.0,0.9559999704360962
6,2,0.1,0.47120000403374435
6,2,0.2,0.17647999972105027
6,2,0.3,0.22128000427037478
6,2,0.5,0.08272000104188919
6,2,0.7,0.06735999844968318
8,0,0.0,0.9399999976158142
8,0,0.1,0.3992000088095665
8,0,0.2,0.2270399923902005
8,0,0.3,0.17615999802947044
8,0,0.5,0.18319999873638154
8,0,0.7,0.059520000033080576
8,1,0.0,0.9800000190734863
8,1,0.1,0.29023999273777007
8,1,0.2,0.3159999966621399
8,1,0.3,0.23135999739170074
8,1,0.5,0.17984000146389006
8,1,0.7,0.09184000119566918
8,2,0.0,0.9688000082969666
8,2,0.1,0.6516799926757812
8,2,0.2,0.27295999908819796
8,2,0.3,0.26351999640464785
8,2,0.5,0.018720000423491
8,2,0.7,0.00560000017285347
10,0,0.0,0.9344000220298767
10,0,0.1,0.3443199969828129
10,0,0.2,0.1639999970793724
10,0,0.3,0.06335999965667724
10,0,0.5,0.077920001745224
10,0,0.7,0.05920000225305557
10,1,0.0,0.9607999920845032
10,1,0.1,0.4875200092792511
10,1,0.2,0.35631999671459197
10,1,0.3,0.331360000371933
10,1,0.5,0.1681600034236908
10,1,0.7,0.003840000182390213
10,2,0.0,0.9703999757766724
10,2,0.1,0.29856000542640687
10,2,0.2,0.15472000055015087
10,2,0.3,0.029760001180693507
10,2,0.5,0.05904000122100115
10,2,0.7,0.10784000158309937
